,Encoding,Sampling,Scaling,Model,Precision Class 0,Precision Class 1,Recall Class 0,Recall Class 1,F1 Score Class 0,F1 Score Class 1,AUC Score,Overall Accuracy,balanced accuracy,fbeta score
66,Binary,None,StandardScaler,XGBoost,0.9458697112155809,0.6620428751576293,0.9633378932968536,0.5657327586206896,0.9545238902067096,0.6101104009296919,0.7645353259587715,0.91854819130857,0.7645353259587716,0.5826859045504995
67,Binary,None,StandardScaler,CatBoost,0.9476439790575916,0.6818757921419518,0.9656634746922025,0.5797413793103449,0.9565688732298936,0.6266744321490973,0.7727024270012736,0.9221898519058024,0.7727024270012737,0.5976449677849367
68,Binary,None,MinMaxScaler,DecisionTree,0.9402533039647577,0.5071868583162218,0.9343365253077975,0.5323275862068966,0.9372855770550295,0.519453207150368,0.7333320557573471,0.8890507404709881,0.7333320557573471,0.5271020059752454
69,Binary,None,MinMaxScaler,RandomForest,0.9401720714758438,0.6969253294289898,0.9716826265389877,0.5129310344827587,0.9556676757484023,0.5909373060211048,0.7423068305108732,0.920004855547463,0.7423068305108732,0.5415244596131968
70,Binary,None,MinMaxScaler,XGBoost,0.9447951645399597,0.6519546027742749,0.9622435020519836,0.5571120689655172,0.9534395120298204,0.6008134805345728,0.7596777855087504,0.9166059723233795,0.7596777855087504,0.5738068812430632
71,Binary,None,MinMaxScaler,CatBoost,0.9460836909871244,0.6726342710997443,0.9649794801641587,0.5668103448275862,0.9554381687660841,0.6152046783625731,0.7658949124958725,0.9201262442340374,0.7658949124958725,0.5852247441032488
72,Binary,Undersample,None,DecisionTree,0.9768621236133121,0.40560165975103735,0.8432284541723666,0.8426724137931034,0.9051395007342142,0.5476190476190476,0.8429504339827351,0.8431658169458607,0.842950433982735,0.6932624113475176
73,Binary,Undersample,None,RandomForest,0.9907259354013431,0.43850806451612906,0.8476060191518467,0.9375,0.9135948097906221,0.5975274725274726,0.8925530095759233,0.85773245933479,0.8925530095759233,0.7636938202247192
74,Binary,Undersample,None,XGBoost,0.9881027918781726,0.44105480868665975,0.8521203830369357,0.9191810344827587,0.915087410019098,0.5960866526904263,0.8856507087598472,0.8596746783199806,0.8856507087598472,0.7554020545518951
75,Binary,Undersample,None,CatBoost,0.9912140575079872,0.4413549039433772,0.8488372093023255,0.9407327586206896,0.9145173176123802,0.6008258774948383,0.8947849839615075,0.8591891235736829,0.8947849839615076,0.7671353251318102
76,Binary,Undersample,StandardScaler,DecisionTree,0.9749763928234183,0.40817409766454354,0.847469220246238,0.8286637931034483,0.9067622950819672,0.5469416785206259,0.8380665066748432,0.8453508133042,0.8380665066748432,0.6870979270907791
77,Binary,Undersample,StandardScaler,RandomForest,0.9908829174664108,0.4385699899295065,0.847469220246238,0.9385775862068966,0.9135820675416605,0.5978037062457103,0.8930234032265674,0.85773245933479,0.8930234032265674,0.7643032643032643
78,Binary,Undersample,StandardScaler,XGBoost,0.9881027918781726,0.44105480868665975,0.8521203830369357,0.9191810344827587,0.915087410019098,0.5960866526904263,0.8856507087598472,0.8596746783199806,0.8856507087598472,0.7554020545518951
79,Binary,Undersample,StandardScaler,CatBoost,0.9912140575079872,0.4413549039433772,0.8488372093023255,0.9407327586206896,0.9145173176123802,0.6008258774948383,0.8947849839615075,0.8591891235736829,0.8947849839615076,0.7671353251318102
80,Binary,Undersample,MinMaxScaler,DecisionTree,0.9763904294089685,0.40425531914893614,0.8429548563611491,0.8394396551724138,0.9047793847735114,0.5457092819614711,0.8411972557667814,0.8425588735129886,0.8411972557667815,0.6907253059053022
81,Binary,Undersample,MinMaxScaler,RandomForest,0.9908843754997602,0.4387909319899244,0.8476060191518467,0.9385775862068966,0.9136621691366218,0.5980089255063509,0.8930918026793717,0.8578538480213644,0.8930918026793717,0.7644374232051958
82,Binary,Undersample,MinMaxScaler,XGBoost,0.988527724665392,0.436289500509684,0.8487004103967168,0.9224137931034483,0.9132930958339467,0.5923875432525952,0.8855571017500826,0.8570041272153436,0.8855571017500825,0.7543179414874869
83,Binary,Undersample,MinMaxScaler,CatBoost,0.9912140575079872,0.4413549039433772,0.8488372093023255,0.9407327586206896,0.9145173176123802,0.6008258774948383,0.8947849839615075,0.8591891235736829,0.8947849839615076,0.7671353251318102
84,Binary,Oversample,None,DecisionTree,0.9380170893801709,0.5445086705202312,0.9461012311901504,0.5075431034482759,0.9420418170673568,0.5253764640267709,0.7268221673192131,0.896698227725176,0.7268221673192132,0.5145291675770156
